,lat,long,N
488,-21.68,-47.6,2
489,-23.19,-46.89,1
490,2.13,-50.5,1
491,-25.35,-51.47,4
492,-21.72,-44.98,3
493,-8.42,-42.33,1
494,-21.74,-43.41,3
495,-22.69,-45.48,3
496,-25.77,-49.72,3
497,-20.59,-40.42,6
498,-25.78,-49.33,1
499,-22.82,-41.98,1
500,4.43,-51.52,1
501,-14.14,-47.52,1
502,-20.15,-46.66,1
503,-19.82,34.85,1
504,-26.1,-56.94,1
505,-22.76,-43.3,1
506,41.45,-8.17,2
507,43.85,19.46,1
508,-22.33,-44.6,1
509,-19.9,-43.93,1
510,-27.63,-48.46,1
511,-7.01,-47.15,2
512,-22.98,-43.19,2
513,-24.24,-48.38,1
514,-2.66,-42.86,1
515,35.19,-114.07,1
516,-8.73,-35.17,2
517,-23.41,-46.03,1
518,-22.82,-43.43,2
519,-23.46,-46.64,63
520,-17.77,-48.66,6
521,51.42,-116.2,1
522,-3.69,-40.36,7
523,-13.4,-46.32,4
524,-22.53,-41.95,1
525,-6.07,-49.9,1
526,-22.3,-44.44,2
527,-23.64,-46.72,1
528,-21.98,-44.6,1
529,-25.41,-49.27,1
530,-22.73,-43.45,1
531,-2.8,-40.51,1
532,-8.06,-34.9,1
533,-20.45,-41.78,3
534,-20.07,-43.4,1
535,-15.33,-49.13,1
536,11.34,-73.98,1
537,-25.3,-49.08,1
538,-16.65,-49.27,1
539,41.75,-8.2,1
540,-14.12,-47.52,1
541,-3.77,-49.67,1
542,51.31,-116.97,1
543,-21.37,-46.53,1
544,-20.27,-40.29,3
545,-23.32,-46.58,1
546,-29.32,-50.82,2
547,-23.0,-43.34,1
548,-25.49,30.99,1
549,-3.1,-60.02,8
550,-21.79,-46.59,1
551,-22.24,-42.52,1
552,51.1,-115.35,1
553,-15.64,-42.74,2
554,-15.58,-56.1,8
555,-22.83,-43.4,1
556,-22.33,-44.54,1
557,-22.47,-44.58,2
558,-5.12,-42.79,7
559,-22.34,-42.72,1
560,-20.6,-41.21,1
561,-5.07,-42.79,1
562,-23.55,-46.59,1
563,41.7,-8.83,3
564,-22.67,-45.61,2
565,-26.47,-52.57,1
566,-22.28,-44.87,1
567,-22.74,-44.62,1
568,-9.27,-49.96,1
569,-16.75,-49.2,6
570,-23.52,-46.19,2
571,-18.14,-43.62,1
572,-20.67,-42.53,1
573,-22.9,-47.06,1
574,-15.12,-44.32,1
575,-20.3,-40.3,2
576,-22.96,-43.36,1
577,20.93,-89.12,2
578,-19.93,-44.05,1
579,-19.61,-43.22,1
580,-21.37,-41.1,1
581,-22.95,-43.22,1
582,-7.98,-34.85,1
583,-15.8,-47.9,2
584,-4.07,-41.66,2
585,-22.39,-44.97,1
586,43.13,-5.03,1
587,-40.86,-71.62,2
588,-19.79,-43.95,7
589,-19.56,-44.05,5
590,-15.85,-48.96,1
591,-22.83,-43.42,1
592,-25.56,-54.57,1
593,-2.42,-54.7,2
594,-27.37,-53.76,1
595,-20.33,-41.13,3
596,-20.72,-42.42,2
597,-23.58,-46.75,2
598,-22.3,-41.71,1
599,-22.46,-44.48,1
600,-19.95,-43.94,3
601,-27.22,-49.08,1
602,-25.62,-54.48,1
603,-9.6,-35.76,6
604,-22.42,-47.58,1
605,-23.53,-46.36,1
606,-24.99,-47.92,1
607,-22.37,-42.99,1
608,41.02,-123.01,1
609,-22.85,-43.38,1
610,-8.62,-37.15,2
611,-25.13,-50.21,1
612,-19.64,-43.9,3
613,-22.68,-44.32,1
614,-16.45,-39.07,1
615,41.87,-8.2,1
616,-25.52,-54.56,1
617,-25.78,-49.72,3
618,-2.56,-44.19,1
619,-49.33,-72.89,2
620,-22.96,-44.04,3
621,-23.33,-46.73,4
622,54.05,-2.15,1
623,-19.71,-42.74,4
624,-21.21,-47.8,2
625,-22.34,-48.76,2
626,-23.33,-46.71,4
627,-20.28,-40.33,1
628,-19.97,-43.99,1
629,-15.57,-56.06,3
630,-7.16,-36.83,1
631,-19.96,-43.91,2
632,-22.9,-43.11,1
633,-20.38,-43.49,4
634,-23.46,-46.55,1
635,-2.79,-40.52,3
636,-23.12,-46.55,1
637,-23.45,-46.42,3
638,-25.4,-51.46,1
639,-15.33,-56.88,1
640,-23.72,-46.04,1
641,-11.42,-40.59,1
642,-25.46,-54.59,1
643,-2.62,-60.95,1
644,-22.64,-43.25,9
645,-23.03,-46.84,1
646,-25.51,-49.2,1
647,-19.62,-42.76,1
648,-22.78,-43.48,7
649,-27.0,-49.43,7
650,-25.38,-49.32,3
651,-23.48,-46.74,1
652,-3.53,-38.87,1
653,-27.0,-51.15,2
654,-25.45,-48.92,1
655,-20.45,-41.87,1
656,-21.72,-47.6,1
657,-15.8,-48.82,1
658,-20.36,-43.49,1
659,39.85,-6.03,1
660,-25.49,-48.88,1
661,-3.85,-40.92,1
662,-20.01,-44.0,2
663,-27.09,-52.6,1
664,6.79,-73.0,1
665,39.57,-8.59,1
666,-22.95,-43.35,6
667,-32.22,26.58,1
668,41.85,-8.42,5
669,-29.33,-49.74,1
670,-8.99,-77.68,1
671,-19.79,-43.96,5
672,-22.52,-44.11,1
673,9.08,-79.68,2
674,-19.92,-43.92,1
675,-7.24,-39.41,4
676,-23.55,-46.64,3
677,-23.96,-46.35,1
678,-23.79,-46.31,1
679,-17.08,-42.7,1
680,-2.75,-42.82,1
681,-22.9,-43.2,1
682,-10.01,-67.85,1
683,-7.24,-39.42,1
684,-17.57,-52.57,1
685,-27.25,-53.85,1
686,-23.24,-45.02,3
687,-19.93,-43.98,1
688,-3.84,-32.41,1
689,-8.28,-35.98,1
690,-31.25,-50.96,5
691,-29.82,-51.16,1
692,-6.53,-35.74,1
693,-22.96,-43.18,1
694,-22.95,-43.34,1
695,-22.04,-41.05,2
696,-8.04,-35.2,2
697,-20.63,-42.4,10
698,12.5,-69.93,1
699,-25.3,-54.1,1
700,-22.71,-45.53,3
701,-27.59,-48.54,1
702,-22.89,-43.23,1
703,-21.05,-43.01,1
704,-28.28,-52.18,1
705,-9.62,-35.77,4
706,-29.37,-51.38,1
707,-29.37,-50.83,1
708,-23.0,-44.44,1
709,-0.01,-51.08,1
710,-1.42,-48.44,3
711,-38.65,-71.64,1
712,-24.72,-48.06,1
713,-27.58,-48.43,1
714,-27.05,-49.09,2
715,-30.87,-53.12,1
716,-30.12,-51.21,1
717,-18.01,-43.4,1
718,-33.77,-70.07,2
719,-18.22,-43.61,3
720,-7.24,-39.43,1
721,-22.52,-52.16,2
722,-12.77,-41.46,1
723,12.13,-86.24,1
